,IPEDS_Hispanic,Program_Desc_Final
1,Non-Hispanic,Business Administration - MBA
5,Non-Hispanic,Business Administration - MBA
6,Non-Hispanic,Business Administration - MBA
12,Non-Hispanic,Business Administration - MBA
13,Non-Hispanic,Business Administration - MBA
15,Non-Hispanic,Business Administration - MBA
18,Non-Hispanic,Business Administration - MBA
20,Non-Hispanic,Business Administration - MBA
23,Non-Hispanic,Business Administration - MBA
25,Non-Hispanic,Business Administration - MBA
26,Non-Hispanic,Business Administration - MBA
30,Non-Hispanic,Business Administration - MBA
32,Non-Hispanic,Business Administration - MBA
33,Non-Hispanic,Business Administration - MBA
36,Non-Hispanic,Business Administration - MBA
39,Non-Hispanic,Business Administration - MBA
40,Non-Hispanic,Business Administration - MBA
41,Non-Hispanic,Business Administration - MBA
42,Hispanic,Business Administration - MBA
43,Non-Hispanic,Business Administration - MBA
46,Non-Hispanic,Business Administration - MBA
47,Non-Hispanic,Business Administration - MBA
48,Hispanic,Business Administration - MBA
53,Non-Hispanic,Business Administration - MBA
54,Non-Hispanic,Business Administration - MBA
59,Non-Hispanic,Business Administration - MBA
60,Non-Hispanic,Business Administration - MBA
63,Non-Hispanic,Business Administration - MBA
70,Non-Hispanic,Business Administration - MBA
71,Non-Hispanic,Business Administration - MBA
73,Non-Hispanic,Business Administration - MBA
76,Non-Hispanic,Business Administration - MBA
77,Non-Hispanic,Business Administration - MBA
78,Non-Hispanic,Business Administration - MBA
82,Non-Hispanic,Business Administration - MBA
89,Non-Hispanic,Business Administration - MBA
90,Non-Hispanic,Business Administration - MBA
91,Non-Hispanic,Business Administration - MBA
92,Non-Hispanic,Business Administration - MBA
93,Non-Hispanic,Business Administration - MBA
94,Non-Hispanic,Business Administration - MBA
96,Non-Hispanic,Business Administration - MBA
97,Non-Hispanic,Business Administration - MBA
98,Non-Hispanic,Business Administration - MBA
99,Non-Hispanic,Business Administration - MBA
102,Non-Hispanic,Business Administration - MBA
105,Non-Hispanic,Business Administration - MBA
107,Non-Hispanic,Business Administration - MBA
109,Non-Hispanic,Business Administration - MBA
110,Non-Hispanic,Business Administration - MBA
111,Non-Hispanic,Business Administration - MBA
112,Non-Hispanic,Business Administration - MBA
115,Non-Hispanic,Business Administration - MBA
