Contact_ID,Start_Term_and_Year,Program_Desc,IPEDS_Ethnicities,IPEDS_Hispanic,Sex,Created_Date,Complete_Date,Admit_Date,Deposit_Date
000001,Spring 2021,Technology Management - MS,Asian,Non-Hispanic,Male,5/22/2020,,,
000002,Fall 2020,Business Administration - MBA,White/Caucasian,Non-Hispanic,Female,3/30/2020,4/15/2020,4/24/2020,
000003,Fall 2019,Accounting - MS,Prefer to not respond,Non-Hispanic,Male,8/30/2018,,,
000004,Fall 2020,Management - MS,White/Caucasian,Non-Hispanic,Male,7/29/2020,,,
000005,Spring 2022,Real Estate Development - MS,Asian,Non-Hispanic,Male,2/26/2021,12/2/2021,3/1/2022,1/11/2022
000006,Fall 2021,Business Administration - MBA,White/Caucasian,Non-Hispanic,Male,5/23/2021,6/16/2021,6/23/2021,
000007,Fall 2021,Business Administration - MBA,White/Caucasian,Non-Hispanic,Female,11/18/2020,,,
000008,Fall 2022,Real Estate Development - MS,Black/African American,Non-Hispanic,Male,5/8/2022,,,
000009,Fall 2022,Accounting - MS,Asian,Non-Hispanic,Male,1/12/2022,,,
000010,Fall 2022,Accounting - MS,White/Caucasian,Non-Hispanic,Male,1/4/2021,1/14/2022,,
000011,Fall 2022,Management - MS,White/Caucasian,Non-Hispanic,Male,6/8/2022,6/17/2022,6/29/2022,6/30/2022
000012,Fall 2020,Management - MS,White/Caucasian,Non-Hispanic,Female,3/12/2020,5/6/2020,5/14/2020,
000013,Fall 2020 ,Business Administration - MBA,Black/African American,Non-Hispanic,Male,10/16/2019,11/19/2019,11/22/2019,
000014,Fall 2020,Business Administration - MBA,Not Reported,Non-Hispanic,Male,1/9/2019,4/20/2020,,
000015,Fall 2019,Accounting - MS,Not Reported,Non-Hispanic,Male,5/20/2019,,,
000016,Fall 2019,Business Adminstration - MBA,White/Caucasian,Non-Hispanic,Male,8/15/2018,7/11/2019,7/16/2019,7/28/2019
000017,Spring 2021,Real Estate Development - MS,Asian,Hispanic,Male,6/7/2020,9/8/2020,10/13/2020,10/29/2020
000018,Fall 2022,Real Estate Development - MS,White/Caucasian,Non-Hispanic,Male,3/17/2022,4/10/2022,4/18/2022,
000019,Fall 2022,Business Administration - MBA,White/Caucasian,Non-Hispanic,Male,4/1/2022,4/13/2022,4/20/2022,
000020,Fall 2020,Management - MS,Asian,Non-Hispanic,Female,3/2/2020,3/25/2020,4/11/2020,4/13/2020
000021,Fall 2021,Business Administration - MBA,White/Caucasian,Non-Hispanic,Male,2/13/2021,3/1/2021,11/3/2021,3/11/2021
000022,Fall 2021,Accounting - MS,White/Caucasian,Non-Hispanic,Male,5/20/2019,7/8/2021,7/9/2021,7/21/2021
000023,Fall 2022,Finance - MS,White/Caucasian,Non-Hispanic,Female,9/25/2021,5/4/2022,5/18/2022,5/26/2022
000024,Fall 2021,Business Administration - MBA,Not Reported,Non-Hispanic,Male,3/19/2021,,,
000025,Fall 2021,Accounting - MS,White/Caucasian,Non-Hispanic,Female,1/24/2021,2/1/2021,2/6/2021,2/28/2021
000026,Fall 2019,Business Adminstration - MBA,Black/African American,Non-Hispanic,Female,7/23/2018,10/16/2018,12/14/2018,8/6/2019
000027,Fall 2021,Business Administration - MBA,Not Reported,Non-Hispanic,Female,4/25/2019,1/22/2021,1/29/2021,3/8/2021
